,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month
190,8,2009-01-01,A,78914423.11,5901688.05,0.0,5901688.05,73012735.06,ST 宝利来,5901688.05,01
191,8,2009-03-31,A,78842163.22,5009719.44,0.0,5009719.44,73832443.78,ST 宝利来,5009719.44,03
192,8,2009-06-30,A,78650885.8,5017635.26,0.0,5017635.26,73633250.54,ST 宝利来,5017635.26,06
193,8,2009-09-30,A,79325136.11,5451544.77,0.0,5451544.77,73873591.34,ST 宝利来,5451544.77,09
194,8,2009-12-31,A,79407977.39,6081753.59,0.0,6081753.59,73326223.8,ST 宝利来,6081753.59,12
195,8,2010-01-01,A,79407977.39,6081753.59,0.0,6081753.59,73326223.8,ST 宝利来,6081753.59,01
196,8,2010-03-31,A,79836399.73,6570562.35,0.0,6570562.35,73265837.38,ST 宝利来,6570562.35,03
197,8,2010-06-30,A,77356790.13,4014943.94,0.0,4014943.94,73341846.19,ST 宝利来,4014943.94,06
198,8,2010-09-30,A,77547704.69,4135033.82,0.0,4135033.82,73412670.87,ST 宝利来,4135033.82,09
199,8,2010-12-31,A,77932220.92,3531835.51,0.0,3531835.51,74400385.41,ST 宝利来,3531835.51,12
200,8,2011-01-01,A,77932220.92,3531835.51,0.0,3531835.51,74400385.41,ST 宝利来,3531835.51,01
201,8,2011-03-31,A,76914317.39,2973041.41,0.0,2973041.41,73941275.98,ST 宝利来,2973041.41,03
202,8,2011-06-30,A,77392892.89,3520271.09,0.0,3520271.09,73872621.8,ST 宝利来,3520271.09,06
203,8,2011-09-30,A,77170328.25,3395488.11,0.0,3395488.11,73774840.14,ST 宝利来,3395488.11,09
204,8,2011-12-31,A,77236597.09,3375663.5,0.0,3375663.5,73860933.59,ST 宝利来,3375663.5,12
205,8,2012-01-01,A,587282890.1,74503515.01,0.0,74503515.01,512779375.1,ST 宝利来,74503515.01,01
206,8,2012-03-31,A,77075617.93,3243468.39,0.0,3243468.39,73832149.54,ST 宝利来,3243468.39,03
207,8,2012-06-30,A,77259948.62,3345963.24,0.0,3345963.24,73913985.38,ST 宝利来,3345963.24,06
208,8,2012-09-30,A,77254835.62,3307743.08,0.0,3307743.08,73947092.54,ST 宝利来,3307743.08,09
209,8,2012-12-31,A,613829627.3,73003221.58,0.0,73003221.58,540826405.7,ST 宝利来,73003221.58,12
210,8,2013-01-01,A,613829627.3,73003221.58,0.0,73003221.58,540826405.7,宝利来,73003221.58,01
211,8,2013-03-31,A,605777796.7,61002002.41,0.0,61002002.41,544775794.2,ST 宝利来,61002002.41,03
212,8,2013-06-30,A,610208441.2,58836824.61,0.0,58836824.61,551371616.6,宝利来,58836824.61,06
213,8,2013-09-30,A,619930259.9,62078991.22,0.0,62078991.22,557851268.7,宝利来,62078991.22,09
214,8,2013-12-31,A,626625950.7,63041591.05,0.0,63041591.05,563584359.6,宝利来,63041591.05,12
215,8,2014-01-01,A,626625950.7,63041591.05,0.0,63041591.05,563584359.6,宝利来,63041591.05,01
216,8,2014-03-31,A,627329265.3,58942836.64,0.0,58942836.64,568386428.7,宝利来,58942836.64,03
217,8,2014-06-30,A,632124341.4,59632719.12,273847.38,59906566.5,572217774.9,宝利来,59769642.81,06
218,8,2014-09-30,A,642327096.9,68694688.03,273847.38,68968535.41,573358561.5,宝利来,68831611.72,09
219,8,2014-12-31,A,674028043.8,74980962.53,696318.99,75677281.52,598350762.3,宝利来,75329122.03,12
220,8,2015-01-01,A,674028043.8,74980962.53,696318.99,75677281.52,598350762.3,神州高铁,75329122.03,01
